identificacion,nombre_cientifico,reino,filo,clase,orden,familia,genero,epiteto_especifico,estado_taxonomico,estado_de_amenaza,coordenadas
2669011,Sphagnum falcatulum,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,falcatulum,Aceptado,VU,[]
2669204,Sphagnum imperforatum,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,imperforatum,Aceptado,CR,"[(6.08, -75.42), (6.08333, -75.41667), (6.08, -75.42), (6.083333, -75.416667), (6.08, -75.41), (6.091667, -75.425), (6.083333, -75.416667), (6.083333, -75.416667), (6.083333, -75.416667), (6.083333, -75.416667), (5.935556, -73.076944)]"
2668991,Sphagnum laxirameum,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,laxirameum,Aceptado,VU,"[(5.1, -74.1), (5.1, -74.1), (5.108333, -74.108333), (5.1, -74.1), (5.1, -74.1), (5.1, -74.1), (5.1, -74.1), (5.1, -74.1), (5.1, -74.1), (5.1, -74.1), (5.1, -74.1), (5.1, -74.1)]"
2669057,Sphagnum lewisii,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,lewisii,Aceptado,VU,"[(6.033333, -73.2), (6.03333, -73.2)]"
2669168,Sphagnum ornatum,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,ornatum,Aceptado,CR,"[(5.766667, -66.2), (5.76667, -66.2)]"
2669200,Sphagnum platyphyllum,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,platyphyllum,Aceptado,VU,[]
2669149,Sphagnum pylaesii,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,pylaesii,Aceptado,EN,[]
2669016,Sphagnum rotundatum,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,rotundatum,Aceptado,VU,"[(11.0789, -73.9172), (11.078889, -73.917222), (4.65639, -74.285), (4.656389, -74.285)]"
2669070,Sphagnum santanderense,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,santanderense,Aceptado,CR,"[(6.033333, -73.2), (6.03, -73.2), (6.03, -73.2)]"
2669252,Sphagnum sonsonense,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,sonsonense,Aceptado,EN,"[(5.75, -75.233333), (5.775, -75.2383), (7.352906, -75.392375), (5.775, -75.238333), (5.75, -75.23333), (5.75, -75.23333), (5.75, -75.23), (5.75, -75.23), (5.75, -75.23), (5.75, -75.23), (5.75, -75.23), (5.75, -75.23), (5.75, -75.23)]"
