,scientific_name,locations
51,Ilex bullata,"[(1.120417, -77.213722), (1.120417, -77.213722), (1.2725, -77.237083), (1.272583, -77.236861), (1.2725, -77.237083), (1.272583, -77.236861), (1.272139, -77.230389), (1.272139, -77.230389), (1.271278, -77.230222), (1.27125, -77.229694), (1.272583, -77.236861), (1.272583, -77.236861), (1.272583, -77.236861), (1.272583, -77.236861), (1.272583, -77.236861), (1.272583, -77.236861), (1.272833, -77.236667), (1.272833, -77.236667), (1.272833, -77.236667), (1.25, -77.21667), (1.23478, -77.29226), (3.8811, -72.8667), (3.8811, -72.8667)]"
52,Ilex velutinulosa,"[(3.8811, -72.8667)]"
53,Coespeletia laxiflora,[]
54,Critoniopsis cinerea,"[(4.16995, -74.15965), (6.2859, -72.6228), (6.2809, -72.6228), (6.285901, -72.62276)]"
55,Critoniopsis cuatrecasasii,"[(6.28941, -72.5742), (6.289406, -72.574213), (6.32, -72.56444), (5.27306, -73.29417)]"
56,Critoniopsis franciscana,"[(6.45, -76.77), (1.173811, -76.866382), (1.174, -76.870278)]"
57,Critoniopsis uribei,"[(5.651533, -73.425505), (5.742333, -73.391944), (5.742333, -73.391944), (5.814028, -73.263861), (5.813583, -73.258528), (5.814028, -73.263861), (5.814083, -73.263917), (5.814083, -73.263917)]"
58,Diplostephium dentatum,"[(7.298889, -72.758611), (6.047158, -72.993486), (7.303833, -72.767278), (5.410167, -73.234306), (5.410167, -73.234306), (5.443833, -73.110028), (5.849361, -73.130111), (5.941361, -72.92), (5.941361, -72.92), (5.941361, -72.92), (5.941361, -72.92), (5.941361, -72.92), (5.941361, -72.92), (5.941361, -72.92)]"
59,Diplostephium ellipticum,[]
60,Diplostephium perijaense,[]
61,Espeletia azucarina,"[(6.002819, -72.969953), (6.04102, -72.95645), (6.0436, -72.95827), (6.17685, -72.77435), (6.10131, -72.91899), (6.17685, -72.77435)]"
62,Espeletia cachaluensis,"[(5.873678, -73.079456), (5.891214, -73.121843), (5.983278, -73.13978), (5.88153, -73.174797), (5.902323, -73.028435), (5.96394, -73.08397), (5.980454, -73.072288), (5.980454, -73.072288), (6.012083, -73.147742)]"
63,Espeletia dugandii,"[(6.773111, -72.620611), (6.771611, -72.622), (6.771611, -72.622), (6.771611, -72.622), (6.771611, -72.622), (6.83977, -72.65653), (7.0, -73.25), (7.0, -73.25), (6.885553, -72.632563), (7.0, -73.25), (6.910934, -72.703319), (6.8619, -72.6486), (6.89429, -72.702265), (6.89429, -72.702265), (6.85263, -72.6501), (6.906923, -72.703946), (6.906923, -72.703946), (6.970803, -72.72505), (6.77866, -72.7567)]"
64,Espeletia mirabilis,"[(5.975833, -72.563056), (5.975833, -72.563056), (5.921389, -72.627222)]"
65,Espeletia miradorensis,"[(4.459389, -73.616917), (4.459389, -73.616917), (4.459389, -73.616917)]"
